timestamp,session_id,upload_id,device,location,nr_band,nr_arfcn,ss_rsrp_dbm,ss_sinr_db,ss_rsrq_db,estimated_prb_util,protocol,payload_mb,connection_reuse,rtt_ms,upload_latency_ms,packet_loss_rate,retx_count,success,scenario,connection_mode
2026-01-17T21:13:45.159,22051eb58423,1,oneplus_nord_n30,outdoor_urban,n77,646666,-89.5,8.5,-9.0,0.0823,TCP,0.1,False,62.131556322699865,317.93455246960514,0.0090354527769326,0,True,fresh_connection,fresh
2026-01-17T21:13:55.267,22051eb58423,1,oneplus_nord_n30,outdoor_urban,n77,646666,-89.5,8.2,-9.3,0.079,QUIC,0.1,False,62.131556322699865,257.56248893624604,0.0094872254157792,0,True,fresh_connection,fresh
2026-01-17T21:14:01.413,22051eb58423,1,oneplus_nord_n30,outdoor_urban,n77,646666,-89.5,10.7,-10.1,0.0678,UDP,0.1,False,62.131556322699865,15.22724998861751,0.0108425433323191,0,True,fresh_connection,fresh
2026-01-17T21:14:05.793,22051eb58423,2,oneplus_nord_n30,outdoor_urban,n77,646666,-88.2,12.8,-8.5,0.0753,TCP,0.1,False,59.67139514783913,291.49457501346444,0.00856931697538,0,True,fresh_connection,fresh
2026-01-17T21:14:12.299,22051eb58423,2,oneplus_nord_n30,outdoor_urban,n77,646666,-88.2,13.4,-9.5,0.0372,QUIC,0.1,False,59.67139514783913,251.78444424800293,0.008997782824149,0,True,fresh_connection,fresh
2026-01-17T21:14:17.023,22051eb58423,2,oneplus_nord_n30,outdoor_urban,n77,646666,-88.2,16.0,-8.9,0.074,UDP,0.1,False,59.67139514783913,11.813381650562867,0.010283180370456,0,True,fresh_connection,fresh
2026-01-17T21:14:25.220,22051eb58423,3,oneplus_nord_n30,outdoor_urban,n77,646666,-88.5,12.7,-10.4,0.052,TCP,0.1,False,60.16257564476357,305.67921691365643,0.0086623827537446,0,True,fresh_connection,fresh
2026-01-17T21:14:35.352,22051eb58423,3,oneplus_nord_n30,outdoor_urban,n77,646666,-88.5,9.6,-8.7,0.0226,QUIC,0.1,False,60.16257564476357,250.5410749742068,0.0090955018914319,0,True,fresh_connection,fresh
2026-01-17T21:14:40.168,22051eb58423,3,oneplus_nord_n30,outdoor_urban,n77,646666,-88.5,11.9,-11.7,0.0228,UDP,0.1,False,60.16257564476357,13.286012862771328,0.0103948593044936,0,True,fresh_connection,fresh
2026-01-17T21:14:46.257,22051eb58423,4,oneplus_nord_n30,outdoor_urban,n77,646666,-89.3,13.2,-7.7,0.0202,TCP,0.1,False,61.64500892725986,325.6362644093252,0.0089432648493755,0,True,fresh_connection,fresh
2026-01-17T21:14:52.517,22051eb58423,4,oneplus_nord_n30,outdoor_urban,n77,646666,-89.3,8.0,-8.3,0.0422,QUIC,0.1,False,61.64500892725986,256.8647295574416,0.0093904280918443,0,True,fresh_connection,fresh
2026-01-17T21:14:58.875,22051eb58423,4,oneplus_nord_n30,outdoor_urban,n77,646666,-89.3,9.1,-11.8,0.0267,UDP,0.1,False,61.64500892725986,12.151898051962114,0.0107319178192506,0,True,fresh_connection,fresh
2026-01-17T21:15:04.562,22051eb58423,5,oneplus_nord_n30,outdoor_urban,n77,646666,-90.7,7.2,-11.5,0.0752,TCP,0.1,False,64.33319749600147,326.904863183718,0.0094526058413476,0,True,fresh_connection,fresh
