timestamp,session_id,upload_id,device,location,nr_band,nr_arfcn,ss_rsrp_dbm,ss_sinr_db,ss_rsrq_db,estimated_prb_util,protocol,payload_mb,connection_reuse,rtt_ms,upload_latency_ms,packet_loss_rate,retx_count,success,scenario
2026-02-10T14:19:13.697,0ed8771c6944,1,oneplus_nord_n30,indoor_office,n41,520000,-94.5,9.8,-11.9,0.046,TCP,1.0,True,71.63155632269985,658.4367837680662,0.0108354527769326,0,True,stable_channel
2026-02-10T14:19:16.678,0ed8771c6944,1,oneplus_nord_n30,indoor_office,n41,520000,-94.5,6.1,-11.2,0.0294,QUIC,1.0,True,71.63155632269985,581.3255318596099,0.0113772254157792,0,True,stable_channel
2026-02-10T14:19:22.429,0ed8771c6944,1,oneplus_nord_n30,indoor_office,n41,520000,-94.5,7.7,-10.8,0.0519,UDP,1.0,True,71.63155632269985,103.9870830050757,0.0130025433323191,0,True,stable_channel
2026-02-10T14:19:27.200,0ed8771c6944,2,oneplus_nord_n30,indoor_office,n41,520000,-94.8,8.6,-13.7,0.0376,TCP,1.0,True,72.11538753046095,145.92699054177908,0.0109271260584031,0,True,stable_channel
2026-02-10T14:19:34.606,0ed8771c6944,2,oneplus_nord_n30,indoor_office,n41,520000,-94.8,7.7,-11.1,0.0391,QUIC,1.0,True,72.11538753046095,137.15494999005793,0.0114734823613232,0,True,stable_channel
2026-02-10T14:19:41.286,0ed8771c6944,2,oneplus_nord_n30,indoor_office,n41,520000,-94.8,10.0,-10.2,0.075,UDP,1.0,False,72.11538753046095,104.83713362611968,0.0131125512700837,0,True,stable_channel
2026-02-10T14:19:51.189,0ed8771c6944,3,oneplus_nord_n30,indoor_office,n41,520000,-94.0,6.0,-13.7,0.0535,TCP,1.0,True,70.5866284892681,149.398698545462,0.0106374664505981,0,True,stable_channel
2026-02-10T14:19:55.003,0ed8771c6944,3,oneplus_nord_n30,indoor_office,n41,520000,-94.0,5.5,-9.8,0.0639,QUIC,1.0,True,70.5866284892681,140.6603216592705,0.011169339773128,0,True,stable_channel
2026-02-10T14:20:01.372,0ed8771c6944,3,oneplus_nord_n30,indoor_office,n41,520000,-94.0,8.5,-12.9,0.0723,UDP,1.0,True,70.5866284892681,105.34023499054868,0.0127649597407177,0,True,stable_channel
2026-02-10T14:20:05.617,0ed8771c6944,4,oneplus_nord_n30,indoor_office,n41,520000,-94.5,9.6,-11.5,0.0379,TCP,1.0,True,71.63671940026414,156.0139861856891,0.0108364310442605,0,True,stable_channel
2026-02-10T14:20:16.066,0ed8771c6944,4,oneplus_nord_n30,indoor_office,n41,520000,-94.5,9.0,-13.9,0.0479,QUIC,1.0,True,71.63671940026414,137.73326257039588,0.0113782525964736,0,True,stable_channel
