timestamp,session_id,upload_id,device,location,nr_band,nr_arfcn,ss_rsrp_dbm,ss_sinr_db,ss_rsrq_db,estimated_prb_util,protocol,payload_mb,connection_reuse,rtt_ms,upload_latency_ms,packet_loss_rate,retx_count,success,scenario,udp_mode
2026-01-23T21:49:27.051,5c5a3fb9c70e,1,pixel_5,indoor_office,n41,520000,-109.5,-2.1,-13.0,0.135,TCP,1.0,True,107.29195653641564,976.3987423554086,0.0162354527769326,0,True,quiet,strict
2026-01-23T21:49:32.589,5c5a3fb9c70e,1,pixel_5,indoor_office,n41,520000,-109.5,-2.7,-12.2,0.1347,QUIC,1.0,True,107.29195653641564,859.0175381070707,0.0170472254157792,0,True,quiet,strict
2026-01-23T21:49:39.360,5c5a3fb9c70e,1,pixel_5,indoor_office,n41,520000,-109.5,1.6,-13.9,0.1243,UDP,1.0,True,107.29195653641564,143.38496842160143,0.0194825433323191,0,True,quiet,strict
2026-01-23T21:49:42.389,5c5a3fb9c70e,2,pixel_5,indoor_office,n41,520000,-110.1,-5.0,-15.5,0.139,TCP,1.0,True,109.17716920100143,242.0261374046608,0.102169161276748,0,True,quiet,strict
2026-01-23T21:49:54.019,5c5a3fb9c70e,2,pixel_5,indoor_office,n41,520000,-110.1,-1.4,-10.7,0.1481,QUIC,1.0,False,109.17716920100143,241.159091325248,0.1072776193405854,0,True,quiet,strict
2026-01-23T21:49:57.734,5c5a3fb9c70e,2,pixel_5,indoor_office,n41,520000,-110.1,-2.2,-16.4,0.1411,UDP,1.0,False,109.17716920100143,150.7427853906232,0.1226029935320976,0,True,quiet,strict
2026-01-23T21:50:07.174,5c5a3fb9c70e,3,pixel_5,indoor_office,n41,520000,-109.8,-4.6,-16.1,0.1479,TCP,1.0,True,108.55682902376935,245.40200771300823,0.101556995231219,0,True,quiet,strict
2026-01-23T21:50:09.984,5c5a3fb9c70e,3,pixel_5,indoor_office,n41,520000,-109.8,-4.9,-12.7,0.1418,QUIC,1.0,True,108.55682902376935,254.4487390349996,0.1066348449927799,0,True,quiet,strict
2026-01-23T21:50:20.572,5c5a3fb9c70e,3,pixel_5,indoor_office,n41,520000,-109.8,-0.2,-12.2,0.138,UDP,1.0,True,108.55682902376935,151.9538822780221,0.1218683942774628,0,True,quiet,strict
2026-01-23T21:50:29.899,5c5a3fb9c70e,4,pixel_5,indoor_office,n41,520000,-110.1,0.2,-11.5,0.0894,TCP,1.0,True,106.57485218268955,235.9364493292765,0.0164191334293676,0,True,quiet,strict
2026-01-23T21:50:35.024,5c5a3fb9c70e,4,pixel_5,indoor_office,n41,520000,-110.1,-3.9,-11.6,0.1012,QUIC,1.0,True,106.57485218268955,206.00984820063653,0.017240090100836,0,True,quiet,strict
2026-01-23T21:50:46.738,5c5a3fb9c70e,4,pixel_5,indoor_office,n41,520000,-110.1,2.6,-6.7,0.0965,UDP,1.0,True,106.57485218268955,139.38471357732936,0.0197029601152412,0,True,quiet,strict
2026-01-23T21:50:56.624,5c5a3fb9c70e,5,pixel_5,indoor_office,n41,520000,-110.2,2.8,-9.3,0.0977,TCP,1.0,True,106.69022351414212,202.1080136034297,0.0164713589195343,0,True,quiet,strict
2026-01-23T21:51:04.853,5c5a3fb9c70e,5,pixel_5,indoor_office,n41,520000,-110.2,-0.2,-8.4,0.0964,QUIC,1.0,True,106.69022351414212,234.19274740003183,0.0172949268655111,0,True,quiet,strict
